sample_id,anno_key,doc_key,context,software_name,version,publisher,url,DOI,cord_sha,doc_title,doc_subtitle,journal_title,journal_short_title,document_type,journal_subject,journal_issue,issue_dates,journal_publisher,doc_link,jif_rank,jif,journal_total_cites,stratum,mention_density,mention_density_group,group_num,doc_num,anno_num,references,ref_id_list,refs,ref_id,ref_key,tei,refKey,ref_doc_key
' 7-2632-2 ',60c20bde7723bebd866454c9,60c20bde7723bebd866454c8,"Data was analyzed using FCSalyzer-α freeware (Sven Mostböck, Vienna, Austria).",FCSalyzer-α,NA,Sven Mostböck,NA,10.1016/j.jconrel.2018.04.028,NA,A novel nanoparticle delivery system for targeted therapy of noise-induced hearing loss,NA,Journal of Controlled Release,Journal of Controlled Release,journal-article,['Pharmaceutical Science'],NA,"[[2018, 6]]",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0168365918302116?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0168365918302116?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",487,9.776,60586,"[101,1000]",6,"[2,8]",7,2632,2,NA,NA,NA,NA,NA,NA,NA,NA
' 7-3051-2 ',60c20c647723bebd86645550,60c20c647723bebd8664554f,"SOAPsnp software was used to detect SNPs by comparing healthy volunteer and patient files with CCDS, dbSNP, and the Human Genome Database.",SOAPsnp,NA,NA,NA,10.3389/fimmu.2020.517544,8341211f8351fd31ed42e14a40b2bf09101e27ac,A Novel Homozygous Mutation Destabilizes IKKβ and Leads to Human Combined Immunodeficiency,NA,Frontiers in Immunology,Front. Immunol.,journal-article,NA,NA,"[[2021, 2, 15]]",Frontiers Media SA,"[{'URL': 'https://www.frontiersin.org/articles/10.3389/fimmu.2020.517544/full', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",802,7.561,84852,"[101,1000]",6,"[2,8]",7,3051,2,NA,NA,NA,NA,NA,NA,NA,NA
' 8-306-1 ',60c20d857723bebd866456d8,60c20d857723bebd866456d5,CVTree update: a newly designed phylogenetic study platform using composition vectors and whole genomes,CVTree,NA,NA,http://tlife.fudan.edu.cn/ cvtree,10.1093/nar/gkp278,b411e12b20d883ef2ee5ca19d48eff9fccedf05f,CVTree update: a newly designed phylogenetic study platform using composition vectors and whole genomes,NA,Nucleic Acids Research,Nucleic Acids Research,journal-article,['Genetics'],Web Server,"[[2009, 4, 26]]",Oxford University Press (OUP),"[{'URL': 'http://academic.oup.com/nar/article-pdf/37/suppl_2/W174/3909451/gkp278.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",187,16.971,248139,"[101,1000]",30,"[9,350]",8,306,1,NA,NA,NA,NA,NA,NA,NA,NA
' 8-253-4 ',60c213857723bebd86645e15,60c213857723bebd86645e10,Differentially expressed genes from DESeq were used to identify overrepresented pathways with  Ingenuity Pathway Analysis (IPA) core expression analysis (QIAGEN Inc).,DESeq,2,NA,NA,10.1038/s41386-020-0643-x,afc363bcb8aafb1577188a2cac2fa44151aca6ec; 20b8e7f093b8e2c273aad247e7c19f2d5b40aed0,Interruption of continuous opioid exposure exacerbates drug-evoked adaptations in the mesolimbic dopamine system,NA,Neuropsychopharmacology,Neuropsychopharmacol.,journal-article,"['Pharmacology', 'Psychiatry and Mental health']",11,"[[2020, 2, 20]]",Springer Science and Business Media LLC,"[{'URL': 'http://www.nature.com/articles/s41386-020-0643-x.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://www.nature.com/articles/s41386-020-0643-x', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://www.nature.com/articles/s41386-020-0643-x.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",744,7.853,30856,"[101,1000]",12,"[9,350]",8,253,4,"[{'offsetStart': 11967, 'normalizedForm': '[10]', 'refKey': 9, 'label': '[10]', 'reference_id': {'$oid': '60c213857723bebd86645e11'}, 'offsetEnd': 11971, 'boundingBoxes': [{'x': 103.42, 'h': 12.25369999999998, 'y': 567.497, 'p': 5, 'w': 17.132319999999993}]}]",['60c213857723bebd86645e11'],ref_id_1,60c213857723bebd86645e11,60c213857723bebd86645e11,"<biblStruct xml:id=""b9"">
	<analytic>
		<title level=""a"" type=""main"">Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2</title>
		<author>
			<persName><forename type=""first"">M</forename><forename type=""middle"">I</forename><surname>Love</surname></persName>
		</author>
		<author>
			<persName><forename type=""first"">W</forename><surname>Huber</surname></persName>
		</author>
		<author>
			<persName><forename type=""first"">S</forename><surname>Anders</surname></persName>
		</author>
	</analytic>
	<monogr>
		<title level=""j"">Genome Biol</title>
		<imprint>
			<biblScope unit=""volume"">15</biblScope>
			<biblScope unit=""issue"">12</biblScope>
			<date type=""published"" when=""2014"" />
		</imprint>
	</monogr>
</biblStruct>
",9,60c213857723bebd86645e10
' 11-389-23 ',60c20cfb7723bebd866455ed,60c20cfb7723bebd866455ea,Spark application was developed to run data processing commands automatically and to generate the appropriate output data.,Spark,NA,NA,NA,10.1007/s12145-021-00601-w,cdcb0c56209a1b4588e3aa15397bdce973b5d425,A comprehensive social media data processing and analytics architecture by using big data platforms: a case study of twitter flood-risk messages,NA,Earth Science Informatics,Earth Sci Inform,journal-article,['General Earth and Planetary Sciences'],NA,"[[2021, 3, 11]]",Springer Science and Business Media LLC,"[{'URL': 'http://link.springer.com/content/pdf/10.1007/s12145-021-00601-w.pdf', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'application/pdf'}, {'URL': 'http://link.springer.com/article/10.1007/s12145-021-00601-w/fulltext.html', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/html'}, {'URL': 'http://link.springer.com/content/pdf/10.1007/s12145-021-00601-w.pdf', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'application/pdf'}]",5188,2.878,833,"[1001,12895]",60,"[9,350]",11,389,23,NA,NA,NA,NA,NA,NA,NA,NA
' 11-2801-1 ',60c20d3e7723bebd8664568c,60c20d3e7723bebd8664568a,GeneAnalytics was used to identify diseases associated with the lncRNAs identified previously.,GeneAnalytics,NA,NA,geneanalytics.genecards.org,10.3389/fbioe.2020.582953,33656a747e6e78452937222bd59ee6422a7d8702,Evolutionarily Conserved Long Non-coding RNA Regulates Gene Expression in Cytokine Storm During COVID-19,NA,Frontiers in Bioengineering and Biotechnology,Front. Bioeng. Biotechnol.,journal-article,"['Biotechnology', 'Bioengineering', 'Histology', 'Biomedical Engineering']",NA,"[[2021, 1, 15]]",Frontiers Media SA,"[{'URL': 'https://www.frontiersin.org/articles/10.3389/fbioe.2020.582953/full', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",1400,5.89,7470,"[1001,12895]",19,"[9,350]",11,2801,1,NA,NA,NA,NA,NA,NA,NA,NA
' 12-6272-0 ',60c20ba07723bebd866454a3,60c20ba07723bebd866454a2,The training process has been done using the TensorFlow library.,TensorFlow,NA,NA,NA,10.1007/978-3-030-50426-7_34,c8f8738974e6e3eda519e716fd5a9d4767f28f93,Weighted Clustering for Bees Detection on Video Images,NA,"Lecture Notes in Computer Science,Computational Science – ICCS 2020",NA,book-chapter,NA,NA,[[2020]],Springer International Publishing,"[{'URL': 'http://link.springer.com/content/pdf/10.1007/978-3-030-50426-7_34', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",NA,NA,NA,No Impact Factor,1,"[0,1]",12,6272,0,NA,NA,NA,NA,NA,NA,NA,NA
' 12-358-0 ',60c20ba77723bebd866454aa,60c20ba77723bebd866454a9,"The data for each category were compared to the control group using a commercial statistics package (Medcalc, version 12.7.2).",Medcalc,12.7.2,NA,NA,10.1016/j.tvjl.2014.01.017,444139f42a123635d16c1a93223a40a1dbd1b188,The central role of chloride in the metabolic acid–base changes in canine parvoviral enteritis,NA,The Veterinary Journal,The Veterinary Journal,journal-article,"['Animal Science and Zoology', 'General Veterinary']",1,"[[2014, 4]]",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S1090023314000422?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S1090023314000422?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",NA,NA,NA,No Impact Factor,1,"[0,1]",12,358,0,NA,NA,NA,NA,NA,NA,NA,NA
' 13-2079-1 ',60c20b6c7723bebd8664544f,60c20b6c7723bebd8664544e,By WeChat and  online document editing all patients were treated with medical observation scale.,WeChat,NA,NA,NA,10.1101/2020.02.26.20028084,c954675ee859e2f7b8f352a398a67469b50f05de,Evaluation of the clinical characteristics of suspected or confirmed cases of COVID-19 during home care with isolation: A new retrospective analysis based on O2O,NA,NA,NA,posted-content,NA,NA,"[[2020, 2, 29]]",Cold Spring Harbor Laboratory,"[{'URL': 'https://syndication.highwire.org/content/doi/10.1101/2020.02.26.20028084', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",NA,NA,NA,No Impact Factor,3,"[2,8]",13,2079,1,NA,NA,NA,NA,NA,NA,NA,NA
' 13-6457-4 ',60c20b957723bebd86645480,60c20b957723bebd8664547f,"The raw sequences were aligned with the Bur- rows-Wheeler Alignment tool (BWA) (v.0.7.10), duplicates were marked and removed with Picard, and indels were aligned with GATKLite v.2.3.9.",Bur- rows-Wheeler Alignment tool (BWA),0.7.10,NA,NA,10.1016/j.ajhg.2020.08.018,ce43732a3a8fc1247b69d7ea16ec1e4f8116189d; fc0444a0aa1cec36122383adc772b5b559d79cba; b52f4f21db1ca4f8152b59e7ea2deba2dd2cf0f3,De Novo and Inherited Variants in GBF1 are Associated with Axonal Neuropathy Caused by Golgi Fragmentation,NA,The American Journal of Human Genetics,The American Journal of Human Genetics,journal-article,"['Genetics(clinical)', 'Genetics']",4,"[[2020, 10]]",Elsevier BV,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0002929720302871?httpAccept=text/xml', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/xml'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0002929720302871?httpAccept=text/plain', 'content-version': 'vor', 'intended-application': 'text-mining', 'content-type': 'text/plain'}]",NA,NA,NA,No Impact Factor,8,"[2,8]",13,6457,4,NA,NA,NA,NA,NA,NA,NA,NA
' 14-2253-5 ',60c20b9d7723bebd8664548b,60c20b9d7723bebd86645488,The MatureBayes prediction revealed 22-nucleotide  long 8 mature miRNAs from the pre-miRNA sequences on their 5' and 3' stem locations (Table,MatureBayes,NA,NA,NA,10.1101/2020.11.02.365049,448dc8c5c814f313b155e050c9e5a05b17fefb7a,Computational prediction of SARS-CoV-2 encoded miRNAs and their putative host targets,NA,NA,NA,posted-content,NA,NA,"[[2020, 11, 3]]",Cold Spring Harbor Laboratory,"[{'URL': 'https://syndication.highwire.org/content/doi/10.1101/2020.11.02.365049', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",NA,NA,NA,No Impact Factor,23,"[9,350]",14,2253,5,NA,NA,NA,NA,NA,NA,NA,NA
' 14-811-1 ',60c20c027723bebd866454ff,60c20c027723bebd866454fc,"For example, the PhiPack was designed to work for low-divergence genomes, it still requires 1~5% of variants to perform statistical analysis.",PhiPack,17,NA,NA,10.1101/2020.10.13.338038,f4f4f766001b025838ab8d304228d717cb4bde91,The emergence of inter-clade hybrid SARS-CoV-2 lineages revealed by 2D nucleotide variation mapping,NA,NA,NA,posted-content,NA,NA,"[[2020, 10, 14]]",Cold Spring Harbor Laboratory,"[{'URL': 'https://syndication.highwire.org/content/doi/10.1101/2020.10.13.338038', 'content-version': 'vor', 'intended-application': 'similarity-checking', 'content-type': 'unspecified'}]",NA,NA,NA,No Impact Factor,15,"[9,350]",14,811,1,NA,NA,NA,NA,NA,NA,NA,NA
